x,y,shape
1482,575,Ovalada/Elíptica
1194,571,Filamentosa
1458,567,Ovalada/Elíptica
1607,565,Ovalada/Elíptica
455,565,Esférica/Redonda
1634,564,Ovalada/Elíptica
1457,562,Ovalada/Elíptica
1605,561,Ovalada/Elíptica
1632,560,Ovalada/Elíptica
587,559,Esférica/Redonda
585,558,Esférica/Redonda
584,556,Esférica/Redonda
1078,555,Esférica/Redonda
1018,554,Filamentosa
584,554,Esférica/Redonda
450,554,Esférica/Redonda
587,552,Esférica/Redonda
451,552,Ovalada/Elíptica
731,546,Filamentosa
558,542,Filamentosa
553,542,Esférica/Redonda
7,542,Esférica/Redonda
554,540,Ovalada/Elíptica
7,538,Ovalada/Elíptica
1554,533,Ovalada/Elíptica
1554,529,Ovalada/Elíptica
986,528,Esférica/Redonda
955,527,Filamentosa
983,526,Filamentosa
1603,523,Ovalada/Elíptica
1173,521,Esférica/Redonda
554,519,Filamentosa
507,512,Ovalada/Elíptica
59,512,Ovalada/Elíptica
508,509,Esférica/Redonda
59,508,Filamentosa
1287,502,Ovalada/Elíptica
1124,500,Esférica/Redonda
397,499,Filamentosa
289,497,Ovalada/Elíptica
453,495,Esférica/Redonda
451,494,Esférica/Redonda
348,494,Filamentosa
289,494,Ovalada/Elíptica
454,492,Esférica/Redonda
1590,490,Esférica/Redonda
1584,489,Ovalada/Elíptica
1026,482,Esférica/Redonda
1023,479,Esférica/Redonda
843,475,Esférica/Redonda
225,475,Filamentosa
1615,471,Esférica/Redonda
1612,470,Ovalada/Elíptica
754,470,Esférica/Redonda
750,470,Esférica/Redonda
1633,455,Ovalada/Elíptica
1301,454,Ovalada/Elíptica
809,451,Esférica/Redonda
939,450,Filamentosa
1471,448,Ovalada/Elíptica
1165,444,Filamentosa
38,437,Ovalada/Elíptica
139,436,Esférica/Redonda
1437,433,Esférica/Redonda
1322,433,Filamentosa
234,432,Ovalada/Elíptica
230,431,Filamentosa
1398,427,Ovalada/Elíptica
260,425,Filamentosa
1397,423,Ovalada/Elíptica
739,423,Filamentosa
473,422,Esférica/Redonda
259,422,Ovalada/Elíptica
761,421,Esférica/Redonda
1152,420,Esférica/Redonda
763,420,Ovalada/Elíptica
475,420,Filamentosa
770,415,Filamentosa
744,410,Esférica/Redonda
742,410,Esférica/Redonda
126,410,Esférica/Redonda
917,406,Esférica/Redonda
913,404,Filamentosa
1104,402,Esférica/Redonda
338,399,Esférica/Redonda
199,399,Filamentosa
201,396,Ovalada/Elíptica
1547,392,Ovalada/Elíptica
775,385,Esférica/Redonda
1610,382,Esférica/Redonda
1108,382,Esférica/Redonda
1105,382,Esférica/Redonda
615,376,Esférica/Redonda
1582,375,Ovalada/Elíptica
747,373,Filamentosa
750,372,Esférica/Redonda
1582,371,Ovalada/Elíptica
457,368,Filamentosa
968,363,Esférica/Redonda
1440,360,Ovalada/Elíptica
968,360,Esférica/Redonda
544,358,Esférica/Redonda
1434,346,Filamentosa
1231,346,Filamentosa
1483,342,Esférica/Redonda
1485,340,Ovalada/Elíptica
207,339,Esférica/Redonda
204,339,Ovalada/Elíptica
1515,338,Esférica/Redonda
206,336,Ovalada/Elíptica
1417,326,Ovalada/Elíptica
1513,320,Ovalada/Elíptica
1100,316,Esférica/Redonda
596,314,Esférica/Redonda
569,313,Filamentosa
1635,311,Esférica/Redonda
1520,310,Esférica/Redonda
1395,310,Ovalada/Elíptica
997,308,Filamentosa
996,307,Esférica/Redonda
993,307,Filamentosa
1629,306,Esférica/Redonda
673,303,Filamentosa
1008,300,Esférica/Redonda
985,299,Esférica/Redonda
255,282,Esférica/Redonda
254,277,Filamentosa
1329,270,Filamentosa
1328,268,Ovalada/Elíptica
601,267,Filamentosa
1263,266,Esférica/Redonda
1264,264,Filamentosa
601,264,Esférica/Redonda
603,263,Esférica/Redonda
